Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,CompTotal,LanguageHaveWorkedWith,DatabaseChoice,DatabaseHaveWorkedWith,ConvertedCompYearly,ConvertedCompYearly_w
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,12.0,Data scientist,100 to 499 employees,Individual contributor,In-person,Software Development,Norway,870000.0,Python,Yes,Microsoft SQL Server;PostgreSQL,85980.0,85980.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",10.0,12.0,Data or business analyst,"Just me - I am a freelancer, sole proprietor, etc.",People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Manufacturing,"Iran, Islamic Republic of...",12000.0,C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA,Yes,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,12000.0,12000.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,4.0,10.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,Remote,Retail and Consumer Services,Brazil,90000.0,Python;Rust;SQL,Yes,nan,16383.0,16383.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,20.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,Remote,Insurance,United States of America,130000.0,Bash/Shell (all shells);HTML/CSS;Java;PowerShell;Python;R;SQL,Yes,Oracle;Amazon Redshift,130000.0,130000.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13.0,24.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Higher Education,Sweden,320000.0,Bash/Shell (all shells);Lua;Python;Rust,Yes,MariaDB;PostgreSQL;SQLite;Cockroachdb,33543.0,33543.0
65 years or older,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25.0,20.0,Data engineer,100 to 499 employees,nan,nan,Software Development,United States of America,190000.0,Python;SQL,Yes,Databricks SQL;Neo4J;Oracle,190000.0,190000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,12.0,Data or business analyst,100 to 499 employees,Individual contributor,In-person,Software Development,Czech Republic,984000.0,HTML/CSS;JavaScript;Python;Rust;TypeScript,No,nan,46057.0,46057.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,16.0,20.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Banking/Financial Services,United States of America,850000.0,Bash/Shell (all shells);Go;Python;R;Rust;Scala;SQL,Yes,Databricks SQL;PostgreSQL;Snowflake,850000.0,440856.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,2.0,5.0,Data engineer,Less than 20 employees,Individual contributor,Remote,Software Development,Austria,28700.0,JavaScript;Python,Yes,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,33296.0,33296.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,2.0,Database administrator or engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Higher Education,United States of America,80000.0,nan,Yes,Microsoft SQL Server,80000.0,80000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,20.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,100000.0,Bash/Shell (all shells);Go;Java;JavaScript;Lua;Python;Ruby;Scala;SQL;TypeScript,Yes,BigQuery;Cloud Firestore;Dynamodb;Firebase Realtime Database;MariaDB;MySQL;PostgreSQL;SQLite,116015.0,116015.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,33.0,40.0,Data engineer,500 to 999 employees,Individual contributor,Remote,Insurance,United States of America,145000.0,Bash/Shell (all shells);HTML/CSS;Java;Lisp;Python;SQL,Yes,BigQuery;Datomic;Oracle;PostgreSQL;Redis,145000.0,145000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13.0,9.0,Data scientist,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,United States of America,80000.0,C#;Dart;Delphi;Elixir;Erlang;F#;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;OCaml;PowerShell;Python;R;Ruby;Scala;SQL;TypeScript;VBA;Visual Basic (.Net);Zig;Gleam,Yes,Microsoft Access;Microsoft SQL Server;PostgreSQL,80000.0,80000.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,2.0,9.0,Data scientist,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,United States of America,165000.0,C;HTML/CSS;JavaScript;Python;R;SQL,Yes,BigQuery;PostgreSQL,165000.0,165000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,12.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Healthcare,United States of America,180000.0,Python;SQL,Yes,Dynamodb;MariaDB;MySQL;PostgreSQL;Redis;SQLite;Amazon Redshift,180000.0,180000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,10.0,Data engineer,100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Germany,78000.0,Bash/Shell (all shells);Kotlin;Python;SQL,Yes,BigQuery;Databricks SQL;Dynamodb;MariaDB;MySQL;PostgreSQL;Amazon Redshift,90491.0,90491.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,10.0,Data engineer,Less than 20 employees,Individual contributor,Remote,Software Development,France,60000.0,Python;SQL,Yes,BigQuery;MySQL;PostgreSQL,69609.0,69609.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,10.0,Data engineer,500 to 999 employees,People manager,"Hybrid (some remote, leans heavy to in-person)",Other:,Chile,50000000.0,Python,Yes,Cassandra;Elasticsearch;MySQL;SQLite,53015.0,53015.0
18-24 years old,Some college/university study without earning a degree,Employed,1.0,3.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Manufacturing,Spain,14400.0,nan,nan,nan,16706.0,16706.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",4.0,7.0,Data engineer,nan,nan,nan,Fintech,Colombia,120000000.0,nan,nan,nan,29362.0,29362.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,11.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Insurance,United States of America,175000.0,Python;SQL,Yes,Microsoft SQL Server,175000.0,175000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,14.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Media & Advertising Services,Belgium,75000.0,Bash/Shell (all shells);Elixir;Python,Yes,BigQuery;DuckDB;Elasticsearch;PostgreSQL,87011.0,87011.0
45-54 years old,"Associate degree (A.A., A.S., etc.)",Employed,30.0,35.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,In-person,Manufacturing,United States of America,83000.0,SQL;VBA,Yes,IBM DB2;Microsoft Access;Microsoft SQL Server,83000.0,83000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,18.0,Data or business analyst,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Healthcare,United States of America,103000.0,Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lisp;Python;R;Rust;SQL;TypeScript;Visual Basic (.Net),Yes,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,103000.0,103000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,6.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,United States of America,100000.0,C++;Python;SQL,Yes,Databricks SQL;Microsoft SQL Server;SQLite,100000.0,100000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,15.0,Data engineer,"10,000 or more employees",Individual contributor,In-person,Software Development,United States of America,290000.0,Bash/Shell (all shells);JavaScript;Kotlin;Python;Scala;SQL,Yes,MySQL;Amazon Redshift,290000.0,290000.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,16.0,30.0,Data scientist,20 to 99 employees,nan,nan,Software Development,United States of America,90000.0,Python;TypeScript,Yes,MongoDB;MySQL;PostgreSQL;SQLite;Supabase,90000.0,90000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9.0,17.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,Remote,Other:,Ukraine,2700000.0,Bash/Shell (all shells);Java;Python;SQL,Yes,PostgreSQL;Snowflake;SQLite,64709.0,64709.0
35-44 years old,Some college/university study without earning a degree,Employed,20.0,25.0,Data scientist,20 to 99 employees,Individual contributor,Remote,Media & Advertising Services,United States of America,120000.0,HTML/CSS;JavaScript;Python;R;Rust;SQL,Yes,BigQuery;DuckDB;MariaDB;PostgreSQL,120000.0,120000.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,5.0,13.0,Data engineer,500 to 999 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,New Zealand,130000.0,F#;Python;R;SQL;Swift,Yes,Microsoft SQL Server;PostgreSQL;Snowflake;SQLite,78306.0,78306.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not employed,15.0,10.0,Data engineer,nan,nan,nan,nan,United States of America,75000.0,Bash/Shell (all shells);JavaScript;Python;SQL,Yes,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,75000.0,75000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17.0,20.0,Data engineer,20 to 99 employees,Individual contributor,Remote,Energy,Canada,220000.0,Bash/Shell (all shells);Java;JavaScript;Python;Scala;SQL,Yes,BigQuery;DuckDB;InfluxDB;MySQL;PostgreSQL;Snowflake,160508.0,160508.0
65 years or older,Some college/university study without earning a degree,Employed,31.0,34.0,Database administrator or engineer,"1,000 to 4,999 employees",Individual contributor,Remote,Healthcare,United States of America,180000.0,Bash/Shell (all shells);Python;SQL;TypeScript,Yes,PostgreSQL;Redis,180000.0,180000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,10.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,Remote,Software Development,Ukraine,120000.0,nan,nan,nan,120000.0,120000.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,26.0,28.0,Data engineer,"10,000 or more employees",People manager,In-person,Government,Brazil,240000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;SQL;TypeScript,Yes,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL,43689.0,43689.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,20.0,Data engineer,500 to 999 employees,Individual contributor,Remote,Insurance,United Kingdom of Great Britain and Northern Ireland,100000.0,Java,Yes,Dynamodb;Amazon Redshift,136141.0,136141.0
55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,30.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,Remote,Media & Advertising Services,Spain,55000.0,Bash/Shell (all shells);HTML/CSS;Prolog;Python;SQL,Yes,BigQuery;Cosmos DB;Databricks SQL;Microsoft SQL Server;MongoDB;Neo4J;Redis,63808.0,63808.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,6.0,Data engineer,I don’t know,Individual contributor,Remote,Software Development,Brazil,70000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;VBA,Yes,PostgreSQL;SQLite,12743.0,12743.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,3.0,Database administrator or engineer,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,France,40000.0,Bash/Shell (all shells);HTML/CSS;Java;PowerShell;Python;SQL;VBA,Yes,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,46406.0,46406.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not employed,1.0,1.0,Data or business analyst,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Healthcare,Nigeria,100000.0,nan,nan,nan,65.0,65.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,10.0,15.0,Data scientist,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Insurance,Germany,95000.0,HTML/CSS;JavaScript;PHP;Python;R;SQL,Yes,PostgreSQL,110214.0,110214.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,10.0,5.0,Data scientist,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,United Kingdom of Great Britain and Northern Ireland,80000.0,Python;R;SQL,Yes,DuckDB;Elasticsearch;Microsoft SQL Server,108913.0,108913.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,3.0,Data or business analyst,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Healthcare,India,1365000.0,Bash/Shell (all shells);HTML/CSS;Python;SQL,Yes,DuckDB;Snowflake,15867.0,15867.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",15.0,25.0,Data engineer,Less than 20 employees,Individual contributor,Remote,Software Development,Uruguay,90000.0,nan,nan,nan,2220.0,2220.0
55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",37.0,45.0,Data engineer,nan,nan,nan,Other:,Australia,150000.0,Bash/Shell (all shells);C#;JavaScript;Python;R;SQL;TypeScript;VBA,Yes,Microsoft Access;Microsoft SQL Server;PostgreSQL,97514.0,97514.0
25-34 years old,Some college/university study without earning a degree,Employed,6.0,7.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,United Kingdom of Great Britain and Northern Ireland,49500.0,Bash/Shell (all shells);HTML/CSS;Lua;Python;SQL,Yes,Microsoft SQL Server,67390.0,67390.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",2.0,8.0,Data engineer,nan,nan,nan,Software Development,South Africa,667200.0,Bash/Shell (all shells);HTML/CSS;Python;SQL,Yes,MySQL;Redis;Clickhouse,37616.0,37616.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,15.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,Remote,Software Development,El Salvador,52000.0,HTML/CSS;Java;JavaScript;PHP;SQL;VBA,Yes,Microsoft SQL Server;MySQL,52000.0,52000.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,30.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,Israel,686500.0,Bash/Shell (all shells);C#;Python,Yes,MongoDB,201929.0,201929.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,23.0,12.0,Data scientist,"1,000 to 4,999 employees",People manager,"Hybrid (some in-person, leans heavy to flexibility)",Manufacturing,Poland,365000.0,PowerShell;Python;R;SQL,Yes,Microsoft Access;Microsoft SQL Server,99608.0,99608.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,26.0,28.0,Data engineer,500 to 999 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,United Kingdom of Great Britain and Northern Ireland,94000.0,Bash/Shell (all shells);Python;R;Scala;SQL,Yes,Databricks SQL;Dynamodb;MySQL;PostgreSQL;SQLite,127973.0,127973.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,10.0,15.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Software Development,United Kingdom of Great Britain and Northern Ireland,86000.0,Go;Python,Yes,MongoDB;PostgreSQL;SQLite,117082.0,117082.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,25.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Netherlands,70000.0,Bash/Shell (all shells);C;C++;Python,No,nan,81210.0,81210.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,12.0,15.0,Data scientist,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,Belgium,70000.0,nan,nan,nan,81210.0,81210.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,2.0,8.0,Data scientist,Less than 20 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Italy,20000.0,nan,nan,nan,23203.0,23203.0
25-34 years old,Some college/university study without earning a degree,Employed,5.0,4.0,Data engineer,20 to 99 employees,Individual contributor,In-person,Manufacturing,China,100000.0,HTML/CSS;Java;JavaScript;Python;SQL;VBA,nan,MySQL,13929.0,13929.0
25-34 years old,Some college/university study without earning a degree,Employed,14.0,4.0,Data engineer,100 to 499 employees,Individual contributor,In-person,Software Development,United States of America,160000.0,C#;HTML/CSS;PowerShell;Python;SQL,Yes,Elasticsearch;Microsoft SQL Server;Oracle,160000.0,160000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,18.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Healthcare,Germany,105000.0,nan,nan,nan,121815.0,121815.0
55-64 years old,Some college/university study without earning a degree,Employed,30.0,15.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)","Internet, Telecomm or Information Services",Italy,40000.0,Python;R;SQL,Yes,MongoDB;Oracle;PostgreSQL,46406.0,46406.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,4.0,Data or business analyst,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,India,500000.0,Python;SQL,Yes,Databricks SQL;Microsoft SQL Server,5812.0,5812.0
25-34 years old,Other (please specify):,Employed,6.0,9.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Energy,Germany,60000.0,C#;JavaScript;PowerShell;Python;Rust,Yes,Databricks SQL,69609.0,69609.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",27.0,31.0,Data or business analyst,nan,nan,nan,"Internet, Telecomm or Information Services",Sweden,730000.0,Bash/Shell (all shells);C;C++;HTML/CSS;SQL,Yes,MySQL;Oracle;PostgreSQL,76520.0,76520.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,3.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,United States of America,94000.0,HTML/CSS;Java;JavaScript;SQL;Visual Basic (.Net),Yes,Microsoft SQL Server,94000.0,94000.0
55-64 years old,Some college/university study without earning a degree,Employed,18.0,22.0,Data or business analyst,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,United States of America,30000.0,Bash/Shell (all shells);C;Go;HTML/CSS;SQL,Yes,SQLite,30000.0,30000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,24.0,Data engineer,"1,000 to 4,999 employees",People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Banking/Financial Services,India,5000000.0,JavaScript;TypeScript,Yes,Cosmos DB,58120.0,58120.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,15.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United States of America,120000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;VBA,Yes,BigQuery;Microsoft Access;Microsoft SQL Server;MySQL;Neo4J;Oracle;PostgreSQL;SQLite,120000.0,120000.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,23.0,5.0,Data scientist,100 to 499 employees,Individual contributor,In-person,Software Development,Egypt,120000.0,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;Python;R;Ruby;Rust;SQL;Swift;TypeScript,Yes,nan,2397.0,2397.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,15.0,Data engineer,500 to 999 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,Sweden,556200.0,C;C#;PowerShell;Python;SQL,Yes,Microsoft SQL Server;SQLite,58302.0,58302.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",5.0,10.0,Data or business analyst,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Fintech,Italy,35000.0,nan,nan,nan,40605.0,40605.0
35-44 years old,Some college/university study without earning a degree,Employed,15.0,5.0,Data or business analyst,Less than 20 employees,Individual contributor,In-person,Banking/Financial Services,Cyprus,25000.0,nan,nan,nan,29004.0,29004.0
55-64 years old,Some college/university study without earning a degree,Employed,34.0,46.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Manufacturing,Japan,10000000.0,Bash/Shell (all shells);PowerShell;Python;SQL,Yes,Databricks SQL;DuckDB;Microsoft SQL Server;PostgreSQL;SQLite,69088.0,69088.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,5.0,Data engineer,20 to 99 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",India,1400000.0,nan,nan,nan,16274.0,16274.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,9.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,Greece,25000.0,R;SQL,Yes,Microsoft SQL Server,29004.0,29004.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,11.0,25.0,Data scientist,I don’t know,Individual contributor,Remote,Media & Advertising Services,United Kingdom of Great Britain and Northern Ireland,61000.0,nan,nan,nan,83046.0,83046.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,13.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Software Development,France,50000.0,Bash/Shell (all shells);Python;SQL,Yes,Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;Redis;Snowflake,58007.0,58007.0
18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,1.0,3.0,Data engineer,100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,Hungary,2200000.0,Bash/Shell (all shells);Python;SQL,Yes,Microsoft SQL Server;Neo4J;PostgreSQL,6362.0,6362.0
35-44 years old,"Associate degree (A.A., A.S., etc.)",Employed,15.0,15.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,Remote,Healthcare,Chile,53732000.0,Bash/Shell (all shells);Python;Ruby;SQL,Yes,Databricks SQL;DuckDB;MySQL;PostgreSQL,56972.0,56972.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,1.0,Database administrator or engineer,100 to 499 employees,People manager,In-person,"Transportation, or Supply Chain",Nigeria,4200000.0,Python;SQL,Yes,MySQL,2712.0,2712.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,2.0,Data scientist,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,India,600000.0,HTML/CSS;JavaScript;Python;TypeScript,Yes,Neo4J;PostgreSQL;Redis;SQLite,6974.0,6974.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,9.0,Data scientist,"5,000 to 9,999 employees",Individual contributor,In-person,Healthcare,"Congo, Republic of the...",46000000.0,C#;HTML/CSS;JavaScript;R;SQL;TypeScript,Yes,IBM DB2;Microsoft SQL Server;MySQL;PostgreSQL,81377.0,81377.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",30.0,30.0,Data engineer,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Software Development,United Kingdom of Great Britain and Northern Ireland,120000.0,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;MicroPython;PowerShell;Python;Rust;Scala;SQL,Yes,Databricks SQL;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,163370.0,163370.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,30.0,40.0,Data engineer,I don’t know,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,United Kingdom of Great Britain and Northern Ireland,46000.0,Bash/Shell (all shells);HTML/CSS;PowerShell;Python;R;Ruby;SQL,Yes,Databricks SQL;Microsoft SQL Server;Oracle;PostgreSQL;Snowflake;SQLite,62625.0,62625.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,16.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,175000.0,C++,Yes,MariaDB,175000.0,175000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,10.0,Data scientist,20 to 99 employees,Individual contributor,In-person,"Transportation, or Supply Chain",France,50000.0,Python;SQL,Yes,BigQuery;Microsoft SQL Server,58007.0,58007.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",25.0,30.0,Data engineer,Less than 20 employees,Individual contributor,Remote,Fintech,Spain,18000.0,HTML/CSS;JavaScript;VBA,Yes,MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,18000.0,18000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,7.0,11.0,Data scientist,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,United States of America,94000.0,HTML/CSS;JavaScript;Python;SQL,Yes,Cosmos DB;Oracle;PostgreSQL;Redis;SQLite,94000.0,94000.0
55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,35.0,43.0,Data engineer,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,United States of America,250000.0,C++;JavaScript;SQL;TypeScript,Yes,PostgreSQL,250000.0,250000.0
